main_rank,rank,source,model_type,feature_set,classifier,threshold_method,decision_threshold,n_features,model_path,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,selection_score,uses_age
1,17,basic_fusion_before_improvements,Fusion model,B_cnn_plus_mri_proxy_plus_non_age_metadata,logistic_regression,optimized_on_validation_f1,0.69,17,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_B_cnn_plus_mri_proxy_plus_non_age_metadata_logistic_regression.joblib,0.7857142857142857,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.8323798627002289,0.7204301075268817,0.8064516129032258,0.5555555555555556,0.6578947368421053,0.7458333333333332,0.8096929309171872,False
2,18,basic_fusion_before_improvements,Fusion model,B_cnn_plus_mri_proxy_plus_non_age_metadata,extra_trees,optimized_on_validation_f1,0.42,17,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_B_cnn_plus_mri_proxy_plus_non_age_metadata_extra_trees.joblib,0.7619047619047619,0.7045454545454546,0.8157894736842105,0.7560975609756098,0.8255148741418765,0.6559139784946236,0.6585365853658537,0.6,0.627906976744186,0.7337962962962963,0.8046896801919964,False
3,19,basic_fusion_before_improvements,Fusion model,B_cnn_plus_mri_proxy_plus_non_age_metadata,extra_trees,default_threshold_0.50,0.5,17,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_B_cnn_plus_mri_proxy_plus_non_age_metadata_extra_trees.joblib,0.75,0.6976744186046512,0.7894736842105263,0.7407407407407407,0.8255148741418765,0.6881720430107527,0.7222222222222222,0.5777777777777777,0.6419753086419753,0.7337962962962963,0.8000826341215357,False
4,20,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_selected_mri_proxy,mlp_classifier,optimized_on_validation_f1,0.4,6,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_selected_mri_proxy_mlp_classifier.joblib,0.7380952380952381,0.66,0.868421052631579,0.75,0.8192219679633868,0.6881720430107527,0.6428571428571429,0.8,0.7128712871287128,0.7518518518518518,0.7984553775743707,False
5,21,basic_fusion_before_improvements,Fusion model,B_cnn_plus_mri_proxy_plus_non_age_metadata,logistic_regression,default_threshold_0.50,0.5,17,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_B_cnn_plus_mri_proxy_plus_non_age_metadata_logistic_regression.joblib,0.7023809523809523,0.6326530612244898,0.8157894736842105,0.7126436781609196,0.8323798627002289,0.6666666666666666,0.6944444444444444,0.5555555555555556,0.6172839506172839,0.7458333333333332,0.796459007338436,False
6,22,selected_mri_only_cnn,MRI-only CNN,mri_only_25d,convnext_tiny,selected_threshold,0.5,MRI slices,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/checkpoints/convnext_tiny_25d.pt,0.75,0.673469387755102,0.868421052631579,0.7586206896551724,0.8117848970251716,0.7096774193548387,0.7045454545454546,0.6888888888888889,0.6966292134831461,0.763888888888889,0.7958356348141719,False
7,23,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,logistic_regression_robust,optimized_on_validation_f1,0.5700000000000001,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_logistic_regression_robust.joblib,0.7738095238095238,0.7435897435897436,0.7631578947368421,0.7532467532467533,0.8135011441647597,0.7311827956989247,0.75,0.6666666666666666,0.7058823529411765,0.7805555555555556,0.7954248268893577,False
8,24,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,logistic_regression_robust,default_threshold_0.50,0.5,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_logistic_regression_robust.joblib,0.7380952380952381,0.6739130434782609,0.8157894736842105,0.7380952380952381,0.8135011441647597,0.7204301075268817,0.7209302325581395,0.6888888888888889,0.7045454545454546,0.7805555555555556,0.7908793723439032,False
9,25,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata,logistic_regression_robust,optimized_on_validation_f1,0.53,9,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata_logistic_regression_robust.joblib,0.75,0.6976744186046512,0.7894736842105263,0.7407407407407407,0.808924485125858,0.7311827956989247,0.75,0.6666666666666666,0.7058823529411765,0.7837962962962963,0.7884693618103228,False
10,26,basic_fusion_before_improvements,Fusion model,A_cnn_plus_mri_proxy,logistic_regression,default_threshold_0.50,0.5,14,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_A_cnn_plus_mri_proxy_logistic_regression.joblib,0.75,0.6808510638297872,0.8421052631578947,0.7529411764705882,0.8026315789473685,0.6881720430107527,0.7105263157894737,0.6,0.6506024096385542,0.7421296296296297,0.7877244582043343,False
