feature,importance_mean,importance_std
cnn_ad_probability,0.30889588100686505,0.057835937106759355
education,0.05626430205949664,0.027570142079172744
intensity_std,0.03944508009153325,0.015345756616202296
intensity_p50,0.03933066361556071,0.011577956639899169
intensity_p90,0.026201372997711737,0.008624224889643
bbox_y,0.01804919908466826,0.005907910552597015
bbox_z,0.01804919908466826,0.005907910552597015
brain_voxel_count_proxy,0.00778032036613277,0.003104041182208359
brain_volume_ratio_proxy,0.00666475972540051,0.00261082127659556
left_right_asymmetry_proxy,0.00583524027459959,0.0022638854619461517
intensity_mean,0.0031464530892448992,0.0009657862137376402
central_slice_area_mean,0.003060640732265513,0.0009448023206472437
sex_encoded,0.001659038901601867,0.0011849150559043449
central_slice_area_std,-0.004376430205949605,0.0023744864793605663
ses,-0.005949656750572035,0.004162464476792041
bbox_x,-0.008323798627002226,0.003805423016970169
intensity_p10,-0.015217391304347771,0.00945650616518712
