dataset,variable,n,pearson_corr_with_mmse,pearson_p_value,spearman_corr_with_mmse,spearman_p_value,abs_spearman_corr
OASIS1,final_probability,35,-0.590204885443883,0.00019005816447780575,-0.5674733286394562,0.0003778269210454078,0.5674733286394562
OASIS1,cnn_ad_probability,235,-0.5401649708119961,3.3544085887734545e-19,-0.5560430358344988,1.7963050734512937e-20,0.5560430358344988
OASIS1,nwbv,235,0.4695989328539629,2.721689645186274e-14,0.48342215442619146,3.633027152027926e-15,0.48342215442619146
OASIS1,intensity_mean,235,0.39770980419101487,2.496604087560546e-10,0.42499515271729027,1.0055088150209088e-11,0.42499515271729027
OASIS1,intensity_std,235,-0.4103332901414997,5.856237539048231e-11,-0.4063901130899492,9.271937102257975e-11,0.4063901130899492
OASIS1,age,235,-0.25212310379517244,9.318703847663476e-05,-0.3399095497603812,9.149001589690905e-08,0.3399095497603812
OASIS1,education,235,0.29731675086457376,3.50430547409805e-06,0.3184302470312115,6.170477448483054e-07,0.3184302470312115
OASIS1,central_slice_area_mean,235,0.2686763855121481,2.996005113236962e-05,0.3020714403679232,2.3979228142105558e-06,0.3020714403679232
OASIS1,brain_volume_ratio_proxy,235,0.1478985774382515,0.023351284580030253,0.12490194770894106,0.05587685355870875,0.12490194770894106
OASIS1,brain_voxel_count_proxy,235,0.14789857743825213,0.023351284580029625,0.12490194770894106,0.05587685355870875,0.12490194770894106
OASIS1,left_right_asymmetry_proxy,235,-0.09858478984465276,0.131838636281498,-0.11983081139177365,0.06668523090116739,0.11983081139177365
OASIS2,cnn_ad_probability,371,-0.4152439938213804,6.754452658352212e-17,-0.44929556918526903,7.834748001290375e-20,0.44929556918526903
OASIS2,final_probability,58,-0.45939053124465323,0.00028621028463797515,-0.38449299128450914,0.002883059439423076,0.38449299128450914
OASIS2,nwbv,371,0.3419123897006811,1.3008780870290963e-11,0.28928763110155403,1.386350689567808e-08,0.28928763110155403
OASIS2,education,371,0.19488435608321075,0.00015850564412115813,0.22896775699862337,8.402407136275111e-06,0.22896775699862337
OASIS2,intensity_std,371,0.04995054681068266,0.33732310098666346,0.07845621000498466,0.13145224469422614,0.07845621000498466
OASIS2,age,371,0.055612180159778944,0.28534978458640103,-0.0356495078170868,0.4936225562101276,0.0356495078170868
OASIS2,brain_volume_ratio_proxy,371,-0.006863032514932273,0.8951845569431817,0.026892724107197098,0.6056198396024111,0.026892724107197098
OASIS2,brain_voxel_count_proxy,371,-0.006863032514932273,0.8951845569431817,0.026892724107197098,0.6056198396024111,0.026892724107197098
OASIS2,central_slice_area_mean,371,-0.011528303708182754,0.8248519565438654,-0.022083151112505625,0.6715892346897236,0.022083151112505625
OASIS2,intensity_mean,371,-0.08071606629150681,0.12066506943812061,-0.01793742384387339,0.7305748134794225,0.01793742384387339
OASIS2,left_right_asymmetry_proxy,371,-0.004047691247014658,0.9380656858926351,0.014945747490474556,0.7741735637255424,0.014945747490474556
