variable,n,pearson_corr_with_mmse,pearson_p_value,spearman_corr_with_mmse,spearman_p_value,abs_spearman_corr
cnn_ad_probability,606,-0.4633365178076065,1.4019450292688484e-33,-0.4891714140811949,8.870258155282779e-38,0.4891714140811949
final_probability,93,-0.48020501738533733,1.1101922740489626e-06,-0.4574421750270571,4.031111490295491e-06,0.4574421750270571
nwbv,606,0.37773097909264025,5.481773867615496e-22,0.34995088085933973,6.729969602586369e-19,0.34995088085933973
education,606,0.11520886400501583,0.004515460360870494,0.16356501944538093,5.222199367341016e-05,0.16356501944538093
age,606,-0.08478711845504444,0.03691893473787051,-0.1519749255607314,0.0001731429735227344,0.1519749255607314
intensity_std,606,-0.16818497647744557,3.163710758261372e-05,-0.11405652227234003,0.004936958100180172,0.11405652227234003
central_slice_area_mean,606,0.035208216729147694,0.3869280327942936,0.06952931775723774,0.08723923937622025,0.06952931775723774
brain_volume_ratio_proxy,606,0.03576370662141939,0.3794766402112774,0.06076820053423306,0.1351161900091093,0.06076820053423306
brain_voxel_count_proxy,606,0.03587627788628939,0.377977397124005,0.06076820053423306,0.1351161900091093,0.06076820053423306
left_right_asymmetry_proxy,606,-0.023226087315179274,0.5682337681143347,-0.029202486570415746,0.47303580379169297,0.029202486570415746
intensity_mean,606,-0.01895109661134511,0.6415025410293471,0.02549145892635048,0.5310977837582364,0.02549145892635048
