,mmse,cnn_ad_probability,final_probability,brain_volume_ratio_proxy,brain_voxel_count_proxy,central_slice_area_mean,left_right_asymmetry_proxy,intensity_mean,intensity_std,nwbv,age,education,sex_encoded
mmse,1.0,-0.48917141408119486,-0.4574421750270571,0.06076820053423307,0.06076820053423307,0.06952931775723774,-0.029202486570415746,0.025491458926350477,-0.11405652227234002,0.34995088085933973,-0.1519749255607314,0.16356501944538093,-0.12428627632807915
cnn_ad_probability,-0.48917141408119486,1.0,0.9033451702426069,0.055890613700200674,0.055890613700200674,0.027366533131100775,0.03484555349630681,-0.09297324789562955,0.16458617998726294,-0.6798217531954296,0.40058002367582374,0.007984110501752165,0.38974597169385233
final_probability,-0.4574421750270571,0.9033451702426069,1.0,0.010623377398466175,0.010623377398466175,-0.09390946256453105,-0.15978335471934588,0.05260959088060637,0.05213213571663036,-0.5609680584973925,0.32166808031554683,-0.30603528458828666,0.3807011511685866
brain_volume_ratio_proxy,0.06076820053423307,0.055890613700200674,0.010623377398466175,1.0,1.0,0.8969366379447902,0.19656068193717358,-0.6485835110602209,-0.5340167974891434,-0.14787815806844254,0.08270484222684385,0.7336610936103793,0.23994485794547432
brain_voxel_count_proxy,0.06076820053423307,0.055890613700200674,0.010623377398466175,1.0,1.0,0.8969366379447902,0.19656068193717358,-0.6485835110602209,-0.5340167974891434,-0.14787815806844254,0.08270484222684385,0.7336610936103793,0.23994485794547432
central_slice_area_mean,0.06952931775723774,0.027366533131100775,-0.09390946256453105,0.8969366379447902,0.8969366379447902,1.0,0.22438694873865914,-0.6003886790486413,-0.5021838703160219,-0.14478596800327148,0.05790801407392179,0.7365549493807407,0.2007293917569682
left_right_asymmetry_proxy,-0.029202486570415746,0.03484555349630681,-0.15978335471934588,0.19656068193717358,0.19656068193717358,0.22438694873865914,1.0,-0.282892707967157,-0.059765743962815636,-0.028798978255649848,0.07234993494871816,0.2954285480463119,-0.033929742348597206
intensity_mean,0.025491458926350477,-0.09297324789562955,0.05260959088060637,-0.6485835110602209,-0.6485835110602209,-0.6003886790486413,-0.282892707967157,1.0,0.5558346919676628,0.29825944433567225,-0.2680112016841352,-0.686466867682373,0.09555390543804827
intensity_std,-0.11405652227234002,0.16458617998726294,0.05213213571663036,-0.5340167974891434,-0.5340167974891434,-0.5021838703160219,-0.059765743962815636,0.5558346919676628,1.0,-0.08838579877298613,0.03634644700210174,-0.4672097121028517,0.040817374524535224
nwbv,0.34995088085933973,-0.6798217531954296,-0.5609680584973925,-0.14787815806844254,-0.14787815806844254,-0.14478596800327148,-0.028798978255649848,0.29825944433567225,-0.08838579877298613,1.0,-0.5846706281320498,-0.15041100429826426,-0.22256327563414452
age,-0.1519749255607314,0.40058002367582374,0.32166808031554683,0.08270484222684385,0.08270484222684385,0.05790801407392179,0.07234993494871816,-0.2680112016841352,0.03634644700210174,-0.5846706281320498,1.0,0.09976317718568639,-0.0033886243169723774
education,0.16356501944538093,0.007984110501752165,-0.30603528458828666,0.7336610936103793,0.7336610936103793,0.7365549493807407,0.2954285480463119,-0.686466867682373,-0.4672097121028517,-0.15041100429826426,0.09976317718568639,1.0,0.1232594990883231
sex_encoded,-0.12428627632807915,0.38974597169385233,0.3807011511685866,0.23994485794547432,0.23994485794547432,0.2007293917569682,-0.033929742348597206,0.09555390543804827,0.040817374524535224,-0.22256327563414452,-0.0033886243169723774,0.1232594990883231,1.0
